NFLNewsID,Season,Split,GamesPlayed,PassAtt,PassComp,PassYard,PassTD,Pass40,PassFD,PassInt,PassIntTD,TimesSacked,PassTD40,Pass300,Pass350,Pass400,Pass2PT,RushAtt,RushYard,RushTD,Rush40,RushFD,RushTD40,Rush2PT,Rush100,Rush150,Rush200,Targets,Receptions,RecYard,RecTD,Rec40,RecFD,RecTD40,Rec2PT,Rec100,Rec150,Rec200,Fumbles,FumblesLost,FumblesTD,EditDate,DefTackles,DefSoloTackles,DefTFL,DefPassInt,DefIntRetYds,DefIntReturnTDs,DefSacks,DefSackYds,DefFumbles,DefFumblesRec,DefFumRetYds,DefFumbReturnTDs,DefSafeties,DefReturnTds,DefPassDef,Def4thDownStop,DefQBHit,Def10TackleBonus,Def2SackBonus,Def3PassDefBonus,Def50YdFumbBonus,Def50YdIntBonus,DefBlockedKick,DefXPReturn,SpecKoRetAtt,SpecKORetYds,SpecKoRetTD,SpecPuntRetAtt,SpecPuntRetYds,SpecPuntRetTD,SpecFGAtt,SpecFGMade,specFGTotalYds,SpecXpAtt,SpecXpMade,SpecFGMade19,SpecFGMade29,SpecFGMade39,SpecFGMade49,SpecFGMade50,SpecFGMissed19,SpecFGMissed29,SpecFGMissed39,SpecFGMissed49,SpecFGMissed50,SpecFGMade59,SpecFGMissed59,SpecFGMade60,SpecFGMissed60,offPassTD9,offPassTD19,offPassTD29,offPassTD39,offPassTD49,offPassTD50,offRushTD9,offRushTD19,offRushTD29,offRushTD39,offRushTD49,offRushTD50,offRecTD9,offRecTD19,offRecTD29,offRecTD39,offRecTD49,offRecTD50,underdogid
17465,2025,M,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,13.5,0,0.012287603,0.45,0,0,0,0,0,0.45,0.45,3.15,0,0.00709956,0.234958067,0,0,0,0,0,0.043381955,0.01887115,0.000754846,15:09.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2c03f26f-0839-49fc-b351-f877c7afa0f4
17467,2025,C,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0890065,21.64001373,0.124845595,0.012049678,3.0890065,0.002596033,0.004993824,0,0,0,15.77708377,12.52280327,207.2610658,0.620995382,0.19756976,12.52280327,0.024986796,0.018629861,0,0,0,10.40787318,4.527424834,0.181096993,15:08.4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,7.0125,206.9856,NULL,19.86875,232.6981,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5ffeb14e-0840-4016-b782-bd17b04cc1e0
17467,2025,F,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328782548,0,0,0.001282524,0.328782548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219188366,0.095346939,0.003813878,15:14.8,0,NULL,NULL,0,NULL,0,0,NULL,NULL,0,NULL,0,0,0,0,0,NULL,0,0,0,0,0,0,0,2.727273,66.52892,NULL,7.727273,74.79339,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5ffeb14e-0840-4016-b782-bd17b04cc1e0
17467,2025,M,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.419516487,7.516121655,0.003325693,0.005537287,1.419516487,6.92E-05,0.000133028,0,0,0,4.668706466,3.228196661,39.74114405,0.048248352,0.050930612,3.228196661,0.001941354,0.001447451,0,0,0,3.098475432,1.347836813,0.053913473,15:08.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,161,0,17,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5ffeb14e-0840-4016-b782-bd17b04cc1e0
17510,2025,C,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.67448975,38.697959,0,0.037738505,1.93489795,0,0,0,0,0,3.8697959,2.902346925,21.28387745,0,0.045789746,0.967448975,0,0,0,0,0,0.15155771,0.065927604,0.002637104,15:14.7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,96e509ee-5018-4208-9e36-aba17a349f10
17510,2025,F,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04047513,12.16190052,0,0.011860366,0.608095026,0,0,0,0,0,1.216190052,0.912142539,6.689045285,0,0.01439069,0.304047513,0,0,0,0,0,0.047631189,0.020719567,0.000828783,15:14.6,0,NULL,NULL,0,NULL,0,0,NULL,NULL,0,NULL,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,96e509ee-5018-4208-9e36-aba17a349f10
17510,2025,M,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75,27,0,0.026330579,1.35,0,0,0,0,0,2.7,2.025,14.85,0,0.03194802,0.675,0,0,0,0,0,0.105743514,0.045998429,0.001839937,10:33.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,96e509ee-5018-4208-9e36-aba17a349f10
17555,2025,C,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.97348972,8.348375593,106.3478083,0.546133573,0.13171065,4.358929314,0.021974605,0.016384007,0,0,0,0.100602458,0.043762069,0.001750483,15:08.1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,856e4913-47c1-4aca-b38b-11f6fcc2b45e
17555,2025,F,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56:19.9,0,NULL,NULL,0,NULL,0,0,NULL,NULL,0,NULL,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,856e4913-47c1-4aca-b38b-11f6fcc2b45e
17555,2025,M,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30976943,1.460730189,17.54489758,0.044778576,0.023045648,0.762689648,0.001801742,0.001343357,0,0,0,0.017602592,0.007657127,0.000306285,15:08.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,856e4913-47c1-4aca-b38b-11f6fcc2b45e
